RealDoc,Python,AWS,SQL,07/2024,Present,"Implemented payment processing, API unit tests, and bug fixes for a web based automation used in real estate continuing education certificates with active users saving +300 hours a month."
PDF Overlay Tool,Python,Pyinstaller,Tkinter,05/2025,05/2025,Reduced manual PDF work by over 80% for a local business by creating a custom Windows executable for batch PDF combination and overlay.
Documentation Retrieval-Augmented Generation System,Python,C#,MySQL,03/2025,03/2025,"Improved developer efficiency by ~25% by building a RAG system to crawl, scrape, vectorize, and index site data for query answering and code generation."
Reinforcement Learning Stacking Bot Simulation,Python,Pandas,Matplotlib,05/2024,06/2024,"Programmed, trained, and optimized a bot with value iteration to retrieve and stack boxes by weight optimally performing action selection and task completion with a 100% success rate."
Tarpaulin,JavaScript,Docker,MySQL,05/2024,06/2024,"Created a course management RESTful API and added unit tests, CRUD operations, authentication, role-based access, and file storage for attachments."
AI Discord Chatbot,Python,JavaScript,Google Cloud,02/2023,06/2023,Designed and programmed a chatbot utilizing OpenAI's language models for users to interact with via text and voice while managing instantaneous conversations with different users.
Unreal Engine 4 Multiplayer FPS Game,UI/UX,Project Management,Design,09/2022,06/2023,"In collaboration with three others, led game design decisions and created maps for a multiplayer FPS game in Unreal Engine 4 presented at OSU’s Engineering Expo."
MLVI System POC,C#,Python,Cognex,05/2022,09/2022,"Collected data, developed, trained, and tested a machine learning visual inspection defect detection system. System proved 20% more consistent in detection accuracy than engineers."
Small Shell,C,Assembly,VIM,02/2022,03/2022,"Built a lightweight custom shell supporting command execution, I/O redirection, background processes, and signal handling similar to Windows command prompt."
Stats.gg,Express,HTML,CSS,05/2021,06/2021,Collaborated with a small team to design and develop desktop and mobile friendly frontend web pages for an esports stat tracking platform. Integrated dynamic content and cookies.
A Circles Game,C#,UI/UX,Object Oriented,09/2018,06/2019,Made a mobile game in the Unity engine published and monetized with ads on the Google Play Store and App Store for Android and iOS in collaboration with a colleague.
